Name,Year,x,n,dying_prob,LEx,dying_prob_annual
Lower-middle-income countries,2025,65,5,0.12197918,15.5558,0.024395836
Lower-middle-income countries,2025,70,5,0.18635406,12.3519,0.037270812
Lower-middle-income countries,2025,75,5,0.27854887,9.5846,0.055709774000000004
Lower-middle-income countries,2025,80,5,0.39828432,7.2996,0.07965686400000001
Lower-middle-income countries,2025,85,5,0.5362636,5.4973,0.10725272
Lower-middle-income countries,2025,90,5,0.67613175,4.1283,0.13522635
Lower-middle-income countries,2025,95,5,0.79254636999999994,3.1587,0.15850927399999998
Lower-middle-income countries,2025,100,-1,1,2.5096,-1
Low-income countries,2025,0,1,0.04135787,64.6825,0.04135787
Low-income countries,2025,1,4,0.02028623,66.4655,0.0050715575
Low-income countries,2025,5,5,0.01090132,63.8065,0.0021802640000000003
Low-income countries,2025,10,5,0.0068174,59.4856,0.00136348
Low-income countries,2025,15,5,0.01003547,54.8768,0.002007094
Low-income countries,2025,20,5,0.0143802,50.4056,0.00287604
Low-income countries,2025,25,5,0.01600899,46.1036,0.003201798
Low-income countries,2025,30,5,0.01801594,41.8125,0.0036031880000000002
Low-income countries,2025,35,5,0.02124762,37.5329,0.004249523999999999
Low-income countries,2025,40,5,0.02685337,33.2917,0.005370674000000001
Low-income countries,2025,45,5,0.034073730000000003,29.1392,0.006814746000000001
Low-income countries,2025,50,5,0.04704121,25.0753,0.009408242
Low-income countries,2025,55,5,0.06344038,21.1844,0.012688076000000001
Low-income countries,2025,60,5,0.09480456,17.4425,0.018960912
Low-income countries,2025,65,5,0.14372403,13.9929,0.028744806
Low-income countries,2025,70,5,0.22435317,10.9014,0.044870634
Low-income countries,2025,75,5,0.33235418,8.3034,0.066470836
Low-income countries,2025,80,5,0.47387156,6.1794,0.094774312
Low-income countries,2025,85,5,0.6238689,4.5622,0.12477377999999999
Low-income countries,2025,90,5,0.76679261,3.3552,0.153358522
Low-income countries,2025,95,5,0.87110527,2.5137,0.17422105400000001
Low-income countries,2025,100,-1,1,2.0282,-1
No income group available,2025,0,1,0.01277914,73.2384,0.01277914
No income group available,2025,1,4,0.00253134,73.1848,6.32835e-4
No income group available,2025,5,5,0.00112572,69.3665,2.2514399999999998e-4
No income group available,2025,10,5,0.00129851,64.4421,2.59702e-4
No income group available,2025,15,5,0.00454378,59.5222,9.087559999999999e-4
